DateTime,AddedIPs,RemovedIPs
1505909498,4,6
1505917072,3,5
1505920944,6,7
1505924843,3,1
1505928739,2,8
1505932554,5,5
1505936375,8,2
1505940202,2,0
1505944106,2,2
1505948134,0,1
1505951897,1,2
1505955862,4,4
1505959634,1,0
1505963435,3,5
1505967336,1,1
1505971116,4,5
1505975204,5,3
1505979078,2,3
1505998233,19,35
1506013854,12,14
1506017591,1,2
1506021268,11,5
1506025478,1,2
1506033175,6,3
1506044682,5,4
1506048426,8,3
1506052331,2,2
1506056035,2,0
1506059888,3,3
1506063827,4,13
1506067619,2,12
1506071479,2,7
1506075324,0,4
1506079113,3,1
1506082942,1,3
1506086807,4,6
1506090611,9,5
1506094532,4,4
1506098382,6,4
1506102294,2,2
1506106216,5,7
1506110124,3,1
1506113893,3,4
1506125450,11,21
1506129292,4,5
1506133111,3,3
1506137050,0,2
1506140883,4,1
1506144738,2,3
1506148616,3,4
1506156437,7,8
1506160270,1,2
1506164090,5,5
1506167952,2,3
1506171878,4,9
1506175906,7,8
1506179690,8,7
1506183535,4,3
1506187385,4,4
1506191264,3,1
1506195077,8,4
1506198892,2,2
1506202699,4,2
1506206602,3,0
1506210397,2,1
1506214422,4,1
1506218224,8,2
1506222112,3,3
1506225933,3,4
1506229755,1,2
1506233751,8,2
1506237872,7,7
1506241721,2,2
1506245549,5,3
1506288013,46,44
1506291913,5,4
1506295782,2,4
1506299606,1,2
1506303554,4,5
1506307286,2,2
1506311134,3,0
1506315006,3,2
1506318811,7,2
1506322692,3,5
1506330358,6,7
1506334227,5,3
1506337999,5,5
1506341827,1,1
1506345681,5,5
1506350215,1,1
1506354091,5,2
1506357975,4,2
1506361791,5,2
1506365620,9,2
1506369484,3,2
1506373380,2,2
1506377132,3,0
1506380978,1,0
1506384854,4,2
1506388653,5,3
1506392513,1,3
1506396372,2,2
1506400292,6,6
1506404019,5,2
1506407872,2,4
1506411697,5,8
1506415534,3,5
1506419441,1,5
1506423234,1,5
1506427121,6,3
1506431010,7,2
1506434836,4,1
1506438628,1,3
1506442462,4,2
1506446287,4,6
1506450415,5,10
1506454187,11,2
1506458047,6,2
1506462088,3,3
1506465793,4,6
1506469701,5,3
1506473529,1,0
1506477295,4,2
1506481258,1,0
1506485184,4,3
1506488939,2,1
1506492610,7,8
1506496551,4,9
1506500284,2,9
1506504102,2,1
1506507983,9,7
1506511800,4,1
1506515676,2,1
1506519505,10,6
1506527205,3,7
1506531156,3,2
1506535042,2,5
1506538848,5,0
1506542566,2,1
1506546359,0,1
1506550199,3,1
1506557853,1,0
1506561760,1,0
1506565818,4,1
1506569868,3,2
1506573568,0,1
1506577395,7,10
1506581161,4,4
1506585055,6,8
1506588844,4,3
1506593033,4,4
1506597075,2,4
1506600884,1,1
1506604698,6,3
1506608655,4,2
1506612407,3,2
1506616194,2,3
1506620183,1,1
1506623929,2,2
1506627695,8,3
1506631548,2,1
1506635382,1,1
1506640085,4,5
1506644035,1,3
1506647871,4,3
1506651802,3,7
1506655581,5,3
1506659377,3,6
1506663511,1,0
1506667300,7,4
1506675063,5,4
1506678910,1,0
1506682661,3,5
1506690397,8,4
1506694315,2,7
1506698043,7,2
1506702146,3,3
1506705964,6,6
1506709883,4,10
1506713638,6,0
1506717507,3,8
1506721312,0,1
1506726146,0,1
1506730000,1,1
1506734140,2,0
1506737919,4,0
1506741883,5,3
1506745667,2,0
1506749433,3,1
1506753341,6,6
1506757189,3,4
1506760905,4,0
1506764928,1,1
1506768860,6,3
1506772694,2,1
1506776658,3,8
1506780535,3,2
1506784299,3,2
1506788061,2,7
1506791946,4,5
1506795905,6,2
1506799584,7,5
1506900933,27,12
1506904745,4,1
1506912340,5,3
1506939514,46,43
1506994686,51,85
1506998670,3,8
1507002407,4,6
1507006213,6,11
1507010042,2,1
1507013985,5,9
1507021629,5,7
1507029241,7,7
1507033106,4,2
1507036901,4,2
1507040870,3,3
1507044667,5,8
1507059964,22,9
1507063851,6,1
1507067893,2,0
1507071963,2,7
1507075980,7,10
1507079820,2,6
1507083633,1,173
1507087472,3,0
1507091316,7,0
1507095167,12,0
1507099009,3,0
1507102841,4,0
1507106677,3,0
1507110534,6,0
1507114372,6,0
1507118194,4,0
1507122287,4,0
1507126128,6,0
1507129957,5,0
1507133808,6,0
1507137900,4,0
1507141936,6,0
1507145795,11,0
1507149654,8,0
1507153487,4,0
1507157482,6,0
1507161202,2,0
1507165307,7,0
1507169095,3,0
1507172957,3,0
1507176816,2,0
1507180646,1,0
1507184477,3,0
1507188320,2,0
1507192143,4,0
1507195988,2,0
1507199849,3,0
1507203659,2,0
1507207486,5,0
1507211325,3,0
1507215189,6,0
1507219009,2,1
1507226717,0,4
1507230817,7,3
1507234656,8,3
1507238803,7,2
1507242593,1,2
1507246657,3,2
1507250461,5,2
1507254296,0,8
1507258154,3,8
1507262006,5,3
1507265850,2,3
1507270233,4,7
1507274111,10,7
1507278065,7,8
1507281788,5,1
1507285737,10,4
1507289588,3,1
1507293408,1,3
1507297275,3,0
1507301092,3,4
1507304928,4,1
1507308759,3,1
1507312625,3,3
1507317595,9,3
1507321486,4,7
1507325321,1,2
1507329203,3,0
1507333011,1,1
1507336865,2,3
1507340684,1,1
1507344570,0,1
1507348365,5,3
1507352214,2,2
1507356293,5,0
1507360127,5,2
1507363985,3,2
1507367812,2,0
1507371661,3,2
1507379389,8,4
1507383217,1,2
1507387012,4,1
1507390871,1,4
1507394739,4,12
1507398556,3,3
1507402389,2,4
1507406197,4,4
1507410079,2,2
1507413884,4,3
1507417754,1,1
1507421632,1,0
1507425463,1,3
1507429295,0,1
1507433161,6,5
1507436969,1,2
1507444641,12,11
1507448483,3,8
1507452334,4,6
1507456203,1,5
1507459992,3,1
1507463850,2,5
1507471520,3,23
1507475346,6,11
1507479205,5,8
1507483044,3,4
1507487148,1,2
1507490968,1,3
1507494821,3,6
1507498689,1,2
1507502502,2,3
1507506552,2,1
1507510405,2,1
1507514275,1,3
1507518152,4,2
1507521922,1,3
1507525770,2,0
1507529602,30,6
1507533444,8,9
1507537271,3,7
1507541139,3,5
1507544965,0,1
1507548831,1,3
1507552629,8,4
1507556719,6,4
1507560564,5,4
1507564432,3,6
1507568244,3,2
1507580431,10,3
1507584339,6,5
1507588185,1,4
1507592042,5,3
1507595899,3,2
1507599678,3,3
1507603510,5,5
1507607373,2,3
1507615026,9,6
1507618903,3,0
1507630685,18,12
1507634535,4,2
1507638386,5,6
1507642178,7,8
1507646031,4,13
1507649894,3,4
1507653640,3,15
1507657516,5,4
1507661625,3,1
1507665448,4,2
1507669352,5,1
1507673143,5,1
1507677234,2,1
1507681051,6,4
1507684911,4,5
1507688787,6,2
1507692587,2,3
1507696452,3,9
1507700286,3,2
1507704102,3,7
1507707973,5,6
1507711816,4,4
1507715627,5,3
1507719449,6,10
1507727149,4,15
1507730971,1,5
1507734824,4,2
1507738655,7,6
1507742511,4,2
1507747246,5,6
1507750918,9,14
1507754746,1,5
1507758574,4,10
1507762424,3,3
1507766264,1,3
1507777759,6,5
1507781614,2,2
1507785450,6,1
1507789287,1,4
1507793171,5,5
1507797198,4,4
1507801080,7,3
1507804850,6,4
1507808698,5,4
1507812551,6,6
1507816377,3,2
1507820232,4,3
1507824976,7,8
1507828890,5,5
1507832711,2,4
1507836600,11,7
1507840411,2,4
1507844240,3,6
1507848077,5,7
1507851906,4,4
1507855742,3,2
1507859575,3,3
1507863408,1,2
1507867296,3,2
1507871113,2,1
1507874995,5,3
1507878843,5,7
1507882640,6,5
1507886478,11,7
1507890320,1,4
1507894169,2,2
1507898080,2,5
1507901919,3,6
1507905696,10,10
1507910222,3,4
1507914224,5,4
1507917957,3,11
1507922044,6,4
1507925871,9,3
1507929763,3,5
1507933531,1,2
1507937356,4,1
1507945103,5,4
1507949379,2,0
1507953404,3,4
1507957138,2,1
1507961097,8,5
1507964947,4,4
1507968772,7,6
1507972645,3,2
1507976710,8,10
1507980776,2,7
1507984630,4,6
1507988443,5,3
1507992277,2,2
1507996129,1,3
1508000007,5,2
1508003827,5,2
1508007909,7,4
1508011756,4,5
1508015610,2,1
1508019438,3,4
1508023285,3,4
1508027094,2,6
1508030934,2,1
1508034789,10,6
1508038662,3,2
1508042457,2,0
1508046297,4,0
1508050164,3,2
1508053972,6,1
1508069344,16,17
1508073417,2,3
1508077232,1,3
